,Report Number,Report Date,Occur Date,Occur Time,Possible Date,Possible Time,Beat,Apartment Office Prefix,Apartment Number,Location,Shift Occurence,Location Type,UCR Literal,IBR Code,Neighborhood,NPU,Latitude,Longitude
83,90011537,2009-01-01,2009-01-01,1926,2009-01-01,1927.0,303.0,,,307 RICHARDSON ST,Evening Watch,7,AGG ASSAULT,1314,Mechanicsville,V,33.74065,-84.39702
84,90010536,2009-01-01,2009-01-01,0410,2009-01-01,411.0,404.0,,,17OO N OLYMPIAN WAY SW,Morning Watch,13,AGG ASSAULT,1315K,Westview,T,33.73613,-84.44460999999998
85,90011359,2009-01-01,2009-01-01,1500,2009-01-01,1515.0,310.0,,,2305 MACON DR SW,Evening Watch,20,AGG ASSAULT,1315K,Browns Mill Park,Z,33.69155,-84.39163
86,83662137,2009-01-01,2008-12-31,2315,2008-12-31,2339.0,104.0,,4,625 JOSEPH E LOWERY,Morning Watch,26,AGG ASSAULT,1315,Ashview Heights,T,33.74865,-84.41763
87,90011341,2009-01-01,2009-01-01,1700,2009-01-01,1701.0,114.0,,,BANKHEAD HWY @ MAYNARD CT,Day Watch,13,AGG ASSAULT,1315,Atlanta Industrial Park,H,33.79361,-84.50024
88,90011684,2009-01-01,2009-01-01,2145,2009-01-01,2149.0,307.0,,,2043 LAKEWOOD TRL SE,Evening Watch,20,AGG ASSAULT,1315,Lakewood,Z,33.69816,-84.37791
89,90010373,2009-01-01,2009-01-01,0200,2009-01-01,230.0,508.0,,316,115 W PEACHTREE PL NW,Morning Watch,13,AGG ASSAULT,1399,Downtown,M,33.7641,-84.39109999999998
90,90011106,2009-01-01,2009-01-01,1408,2009-01-01,1500.0,308.0,,,2021 PHILLIPS DR SE,Day Watch,20,AGG ASSAULT,1399,Thomasville Heights,Z,33.69866,-84.35402999999998
91,83651892,2009-01-01,2008-12-23,1200,2008-12-30,1900.0,610.0,,,2163 RIDGEDALE RD,Evening Watch,20,BURGLARY-RESIDENCE,2202,Kirkwood,O,33.75298,-84.3168
92,90010061,2009-01-01,2009-01-01,0010,2009-01-01,20.0,312.0,,,501 TUFTON TRL SE,Morning Watch,20,BURGLARY-RESIDENCE,2202,Glenrose Heights,Z,33.66477,-84.38429999999998
93,90010143,2009-01-01,2008-12-31,1600,2009-01-01,45.0,607.0,,,695 VERNON AVE SE,Morning Watch,20,BURGLARY-RESIDENCE,2202,Ormewood Park,W,33.73499,-84.35801999999998
94,90010269,2009-01-01,2009-01-01,0035,2009-01-01,45.0,403.0,,,1145 PRINCESS AVE SW,Morning Watch,20,BURGLARY-RESIDENCE,2202,Oakland City,S,33.72374,-84.42548999999998
95,90010307,2009-01-01,2008-12-31,2245,2009-01-01,145.0,404.0,,B102,1530 RALPH D ABERNATHY BLVD SW,Morning Watch,26,BURGLARY-RESIDENCE,2202,Westview,T,33.74307,-84.43766999999998
96,90010369,2009-01-01,2008-12-31,2200,2009-01-01,200.0,210.0,,A302,3200 LENOX RD NE,Morning Watch,26,BURGLARY-RESIDENCE,2202,Pine Hills,B,33.84221,-84.35822
97,90010568,2009-01-01,2008-12-31,2300,2009-01-01,430.0,410.0,,O-201,1999 BENT CREEK WAY SW,Morning Watch,26,BURGLARY-RESIDENCE,2202,Campbellton Road,R,33.70087,-84.46573999999998
98,90010666,2009-01-01,2009-01-01,0654,2009-01-01,654.0,308.0,,260,1090 MCDONOUGH BLVD SE,Day Watch,26,BURGLARY-RESIDENCE,2202,Thomasville Heights,Z,33.70449,-84.35192999999998
99,90010889,2009-01-01,2008-12-31,2300,2009-01-01,300.0,612.0,,,1583 MAY AVE SE,Morning Watch,20,BURGLARY-RESIDENCE,2202,East Atlanta,W,33.73875,-84.33584999999998
100,90010952,2009-01-01,2009-01-01,0300,2009-01-01,500.0,411.0,APT,1402,3030 CONTINENTAL COLONY PKWY SW,Morning Watch,26,BURGLARY-RESIDENCE,2202,Greenbriar,R,33.68066,-84.49370999999998
101,90011015,2009-01-01,2008-12-24,2000,2009-01-01,1200.0,302.0,,,1145 IRA ST SW,Day Watch,20,BURGLARY-RESIDENCE,2202,Pittsburgh,V,33.72366,-84.40022999999998
102,90011161,2009-01-01,2008-12-31,2330,2009-01-01,100.0,601.0,,,1024 HIGHLAND VW NE,Evening Watch,20,BURGLARY-RESIDENCE,2202,Virginia Highland,F,33.77941,-84.35397
103,90011406,2009-01-01,2008-12-27,1300,2009-01-01,1745.0,212.0,,6206,2000 MONROE PL NE,Evening Watch,26,BURGLARY-RESIDENCE,2202,Piedmont Heights,F,33.8103,-84.37025
104,90011567,2009-01-01,2009-01-01,1940,2009-01-01,1950.0,402.0,,,1287 BEECHER ST SW,Evening Watch,20,BURGLARY-RESIDENCE,2202,West End,T,33.73347,-84.42968999999998
105,90011715,2009-01-01,2008-12-24,0930,2009-01-01,2230.0,309.0,,,824 BROOKDALE DR SW,Morning Watch,20,BURGLARY-RESIDENCE,2202,Perkerson,X,33.68623,-84.41630999999998
106,90010680,2009-01-01,2009-01-01,0711,2009-01-01,711.0,211.0,,,2359 PEACHTREE RD NE,Day Watch,24,BURGLARY-NONRES,2203,Peachtree Hills,B,33.81894,-84.38857
107,90010681,2009-01-01,2008-12-31,2030,2009-01-01,600.0,105.0,,,1300 JOSEPH E BOONE BLVD NW,Day Watch,99,BURGLARY-NONRES,2203,Hunter Hills,K,33.76204,-84.43066
108,90010801,2009-01-01,2009-01-01,0945,2009-01-01,945.0,106.0,,,1020 DONALD LEE HOLLOWELL PKWY NW,Day Watch,24,BURGLARY-NONRES,2203,Bankhead,K,33.77292,-84.42077999999998
109,90010963,2009-01-01,2009-01-01,0400,2009-01-01,1000.0,506.0,,,595 NORTH AVE NW,Day Watch,3,BURGLARY-NONRES,2203,English Avenue,L,33.77013,-84.40694999999998
110,90010975,2009-01-01,2009-01-01,1200,2009-01-01,1230.0,407.0,,,286 WILSON MILL RD SW,Evening Watch,11,BURGLARY-NONRES,2203,Wisteria Gardens,H,33.7547,-84.51365
111,83662023,2009-01-01,2008-12-31,1800,2008-12-31,2130.0,506.0,,,800 W MARIETTA ST,Evening Watch,26,BURGLARY-RESIDENCE,2204,English Avenue,L,33.78022,-84.41513999999998
112,90011256,2009-01-01,2009-01-01,0001,2009-01-01,300.0,112.0,,E,211 HARWELL PL NW,Evening Watch,26,BURGLARY-RESIDENCE,2204,Collier Heights,I,33.78081,-84.49241999999998
113,90010406,2009-01-01,2008-12-31,0700,2009-01-01,230.0,306.0,,,1083 ASTOR AVE SW,Morning Watch,20,BURGLARY-RESIDENCE,2202A,Sylvan Hills,X,33.70171,-84.42404
114,90020981,2009-01-02,2008-01-02,0000,2008-01-02,1500.0,512.0,,,200 MEMORIAL DR SW,Evening Watch,24,BURGLARY-NONRES,2205,Downtown,M,33.74656,-84.39403
115,90021005,2009-01-02,2009-01-02,1100,2009-01-02,1550.0,111.0,,R,2961 TRIBBLE LN NW,Evening Watch,20,BURGLARY-RESIDENCE,2204,,I,33.75941,-84.48366
116,90021275,2009-01-02,2008-12-31,1700,2009-01-02,1730.0,301.0,,,1330 ALLENE AVE SW,Evening Watch,20,BURGLARY-RESIDENCE,2204,Capitol View,X,33.71856,-84.41261
